Sector,Industry,Topic,Definition
Consumer Goods,Multiline and Specialty Retailers & Distributors,Workforce Diversity & Inclusion,"The Multiline and Specialty Retailers & Distributors industry is consumer-facing and relies on the ability to communicate effectively with customers during the sales process and adapt to changing consumer demands for products. As the populations of many developed markets undergo a massive demographic shift, including increases in minority populations, entities in this industry can benefit from ensuring that their entity culture and hiring and promotion practicesembrace the building of a diverse workforce at management- and junior-level positions. Retailers that respond to this demographic shift and employ staff who will be able to recognise the needs of diverse populations may be better able to capture demand from segments that have traditionally been overlooked, which can provide entities a competitive advantage. Furthermore, such entities may benefit from decreased legal and regulatory risks, as well as improved reputational value."
Consumer Goods,Multiline and Specialty Retailers & Distributors,"Product Sourcing, Packaging & Marketing","Entities in the Multiline and Specialty Retailers & Distributors industry sell a wide array of products including electronics, clothing, furnishings, and cosmetics, which all have varying environmental and social impacts throughout their lifecycles. The size and subsequent buying power of many entities in this industry allow them to work with their suppliers to source products and packaging with lower lifecycle environmental and social impacts. Entities that perform well in this regard may benefit from increased customer demand and improved margins. Taking a proactive approach to engaging suppliers, using certification standards, and reducing the environmental impacts of packaging are strategies commonly employed byentities in the industry."
Consumer Goods,Multiline and Specialty Retailers & Distributors,Energy Management in Retail & Distribution,"Entities in this industry require significant amounts of energy for retail facilities and warehouses. An increasing number of greenhouse gas (GHG) emissions regulations and incentives for energy efficiency and renewable energy may result in price increases for conventional electricity sources while making alternative sources more cost-competitive. Fossil fuel-based energy production and consumption contribute to significant environmental impacts, including climate change andpollution. Energy sourcing decisions can create trade-offs related to energy supply costs and operational reliability. Overall energy efficiency and access to alternative energy sources are becoming increasingly important for entities to manage. Efficiency in this area can have financial implications through direct cost savings, which are particularly beneficial in this low-margin industry."
Consumer Goods,Multiline and Specialty Retailers & Distributors,Labour Practices,"Retail’s significance to the U.S. economy as a major employer means that it is also often at the centre of public labour-practice discussions. This can have serious reputational implications for entities in the industry whose performance on labour relations is poor. The low-average wages in the industry, which help entities maintain low prices on products, may increase these labour-related risks. Since customers regularly interact directly with employees, entities can face a decrease in market share and revenue from negative consumer sentiment due to public disagreement between entities and their workers. Entities can enhance labour productivity and employee engagement by taking a long-term approach to managing workers in areas such as compensation and workers’ rights. In addition to mitigating risks, improvements in labour productivity can help strengthen an entity’s reputation and reduce its cost of capital."
Consumer Goods,Multiline and Specialty Retailers & Distributors,Data Security,"Consumers trust retail entities with their financial and personal data every time they make a noncash transaction. Credit cards and debit cards have steadily eclipsed cash and cheques as consumers’ preferred payment methods. In these noncash transactions, retailers build up a relationship of trust with consumers, assuring them of the safety of their personal information. Data breaches can occur both through breaches of the physical payment technology, called point-of-sales breaches, as well as through cyber attacks. As consumers become more educated about the threats of cybercrime, particularly in the wake of continued high-profile attacks, having a reputation as a secure entity is increasinglyimportant to maintain or gain market share. Retailers that prevent major data breaches can also avoid harming brand value and reduce liabilities."
Technology & Communications,Hardware,Supply Chain Management,"Entities in the Hardware industry commonly have relatively narrow profit margins and remain competitive by relying on complex, global supply chains, and outsourced production to electronics manufacturing services (EMS) entities. Because entities in the industry typically contract with suppliers in countries with the lowest direct costs, the industry’s products areoften manufactured in countries that have limited regulations or enforcement protecting workers. Entities in the industry have limited direct control over social and environmental standards in production, making improving performance on the issue difficult to manage. This dynamic can heighten an entity’s exposure to reputational risks and impacts on short- and long-term costs and sales. Such effects can arise from increasing regulation and its enforcement in response to high-profile safety or labour incidents, or through a shift in demand away from entities associated with such incidents. Entities that actively manage the impacts generated by the supply chain through the use of standards, monitoring, and engagement with suppliers may be better positioned to protect shareholder value over the long term."
Technology & Communications,Hardware,Employee Diversity & Inclusion,"Despite efforts by the industry to improve workforce diversity and inclusion, hardware entity workforces are characterised by relatively low representation from women and minority groups. Greater workforce diversity is important for innovation as it helps entities understand the needs of a diverse and global customer base, which results in the ability to design desirable products and communicate with customers effectively. Entities that are unable to attract and retain diverse talent may risk losing market share to competitors that successfully employ a staff capable of recognising the needs of diverse populations and capturing demand from segments that have traditionally been overlooked. Furthermore, entities seen as being more representative of their diverse, global customer base are likely to see increased brand loyalty which can also be a source of competitive advantage. Entities that are successful in recruiting and retaining a diverse and inclusive workforce can also avoid high rates of turnover, resulting in cost savings."
Technology & Communications,Hardware,Product Security,"The hardware products and related software offered by entities in the Hardware industry can have vulnerabilities that expose consumers to data security threats. Therefore, hardware manufacturers play an important role in ensuring security of user data. Such vulnerabilities may occur at any stage of a product lifecycle, including product design, the manufacturing supply chain, product distribution, and the product’s use-phase. Entities in the industry that are unable to establish a robust approach to identifying vulnerabilities may risk exposing consumer data to security threats and potentially eroding the trust of their customer base. The increasing prevalence of cybersecurity threats creates both risks and opportunities for the Hardware industry, as effective product security can be a source of competitive advantage, thus helping entities to increase their sales and expand market share. Additionally, concerns about data security and related government actions can also serve as revenue-generating opportunities for this industry through opportunities for federal contracts and the provision of security products."
Technology & Communications,Hardware,Materials Sourcing,"Entities in the Hardware industry rely on numerous critical materials as key inputs for finished products. Many of these inputs have few or no available substitutes and are often sourced from deposits concentrated in only a few countries, many of which are subject to geopolitical uncertainty. Other sustainability impacts related to climate change, land use, resource scarcity, and conflict in regions where the industry’s supply chain operations are also increasingly shaping the industry’s ability to source materials. Additionally, increased competition for these materials due to growing global demand from other sectors can result in price increases and supply risks. The ability of entities to manage potential material shortages, supply disruptions, price volatility, and reputational risks is made more difficult by the fact that they commonly source materials from supply chains that often lack transparency. Failure to effectively manage this issue can lead to an inability to access necessary materials, reduced margins, constrained revenue growth, and/or higher costs or capital. "
Technology & Communications,Hardware,Product Lifecycle Management,"Entities in the Hardware industry face increasing challenges associated with environmental and social externalities attributed to product manufacturing, transport, use and disposal. Rapid obsolescence of hardware products may worsen these externalities. Entities are designing more products with the entire lifecycle in mind. Specific considerations include energy efficiency of products, hazardous material inputs, and designing for and facilitating safe end-of-life disposal and recycling. Entities that prioritise designing and manufacturing products with improved environmental and social impacts may avoid costs associated with externalities, and they may be more likely to grow consumer demand and market share, while eliminating potentially harmful materials. Furthermore, entities that minimise environmental and social externalities of products may be less exposed to increasing regulation and costs, such as those related to extended producer responsibility."
Health Care,Biotechnology & Pharmaceuticals,"Employee Recruitment, Development & Retention","Biotechnology and pharmaceuticals entities face intense competition for employees. The industry relies on highly skilled employees to develop new products, conduct clinical trials, manage government regulations, and commercialise new products. Firms that are able to attract and retain employees in light of a constrained talent pool may be better positionedto protect and enhance shareholder value."
Health Care,Biotechnology & Pharmaceuticals,Supply Chain Management,"For the Biotechnology & Pharmaceuticals industry, supply chain quality is essential to protecting consumer health and corporate value. Biotechnology and pharmaceuticals firms that fail to ensure quality throughout their supply chains are susceptible to lost revenue, supply disruptions, and reputational damage. Disclosure of supply chain audit programs may provide shareholders with an understanding of how entities in this industry are protecting shareholder value."
Health Care,Biotechnology & Pharmaceuticals,Ethical Marketing,"Biotechnology and pharmaceuticals entities face challenges associated with the marketing of specific products. Direct-to-consumer advertisements for prescription drugs provide opportunities for increasing market share. However, challenges arise from the potential for marketing off-label uses, which can result in significant fines and settlements. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern marketing activities will allow shareholders to better understand performance in this area."
Health Care,Biotechnology & Pharmaceuticals,Drug Safety,"Information on product safety can surface after controlled clinical trials and regulatory approval. Subsequently, entities areexposed to the financial implications of recalls and other adverse events. Product safety concerns, manufacturing defects, or inadequate disclosure of product-related risks can lead to significant product liability claims. Biotechnology and pharmaceuticals firms that limit the incidence of recalls, safety concerns, and enforcement actions for manufacturing concerns may be better positioned to protect shareholder value. In addition, concern over the abuse or resale of certain medications has led to mandated take-back programs. Firms that are able to successfully engage in these programs may limit future liabilities."
Health Care,Biotechnology & Pharmaceuticals,Access to Medicines,"Biotechnology and pharmaceuticals entities play an important role in providing access to the industry’s products around the world. Firms can develop pricing frameworks that account for differing levels of economic development and health care needs across various countries. Further, the industry can target priority diseases in developing countries. Strategic approaches related to access to medicines can yield opportunities for growth, innovation, and unique partnerships, whichmay enhance shareholder value."
Health Care,Biotechnology & Pharmaceuticals,Business Ethics,"Biotechnology and pharmaceuticals firms are subject to various international, national, and state laws pertaining to healthcare fraud and abuse. For example, in the U.S., anti-kickback laws and the Foreign Corrupt Practices Act generally prohibit entities from making payments for the purpose of obtaining or retaining business. The ability of entities to ensurecompliance throughout their global and domestic operational footprint may have material implications. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern interactions with health professionals may allow shareholders to monitor performance in this area."
Health Care,Biotechnology & Pharmaceuticals,Safety of Clinical Trial Participants,Clinical trials are an essential component of the approval process for biotechnology and pharmaceutical products. The safety of clinical trial participants is a critical component of an entity’s ability to successfully bring a product to market. Oversight of these trials is an important factor in the industry due to the number of clinical trials conducted by third party contract research organisations as well as those conducted in emerging markets. Biotechnology and pharmaceuticals entities that effectively manage clinical trials may be positioned to enhance shareholder value through the revenue associated with new products.
Health Care,Biotechnology & Pharmaceuticals,Counterfeit Drugs,"The World Health Organization estimates that counterfeit drugs represent more than 10 percent of the pharmaceutical supply chain in low and middle-income countries. The issue of fake or substandard medication also presents a significant risk in developed economies. Biotechnology and pharmaceuticals entities may face added costs as numerous governments and agencies have implemented drug supply chain regulations in an effort to prevent counterfeit, substandard, or mislabeled drugs from entering the pharmaceutical distribution system. Entities that fail to manage this issue effectively may face material risks associated with the potential loss of public confidence and reduced revenue."
Health Care,Biotechnology & Pharmaceuticals,Affordability & Pricing,"Stakeholder emphasis on health care cost containment and increased access will likely continue to place downward pricing pressures on the Biotechnology & Pharmaceuticals industry. As a result, entities that have relied on raising drug prices, contractual advantages, and reverse payments to protect profits may be challenged to enhance value by efforts to reduce costs. Firms that prevent stakeholder scrutiny of pricing practices may limit their exposure to issues such as regulatory action, or adverse reputational impacts."
Health Care,Health Care Distributors,Product Safety,"Health care distributors play an integral role in the delivery of health care products to consumers. The industry therefore has a shared responsibility with manufacturers to ensure product safety and address concerns related to toxicity. Further, health care distributors face additional risks related to controlled substances and the potential for mislabeled products. Entities that limit the incidences of safety or other product concerns may be better positioned to protect shareholder value."
Health Care,Health Care Distributors,Fleet Fuel Management,"The distribution of health care products and supplies requires significant transportation networks. Concern over climate change and dwindling natural resources may affect fuel pricing, and it may expose health care distributors to cost fluctuations. Entities that improve transportation efficiencies may be better positioned to create value over the long-term."
Health Care,Health Care Distributors,Business Ethics,"Health care distributors are subject to various state, national, and international laws. In the U.S., such laws include the False Claims Act and the Foreign Corrupt Practices Act. Entities that are able to ensure compliance with relevant regulations may avoid litigation, which can result in costly fines or settlements."
Health Care,Health Care Distributors,Product Lifecycle Management,Health care distributors have a responsibility to reduce the environmental impact of the products that they distribute. Specific opportunities to address these impacts exist in product packaging and take-back programs. Entities that are able to address these concerns may be better positioned to meet customer demand and reduce associated costs.
Health Care,Health Care Distributors,Counterfeit Drugs,The World Health Organization estimates that counterfeit drugs represent more than 10 percent of the pharmaceutical supply chain in low and middle-income countries. The issue of counterfeit or substandard medication also presents a significant risk in developed economies. Health care distributors may face added costs as governments and national regulatory agencies seek to implement drug supply chain regulations in an effort to prevent counterfeit or mislabeled drugs from entering the pharmaceutical distribution system.
Financials,Insurance,Financed Emissions,"Entities participating in insurance activities face risks and opportunities related to the greenhouse gas emissions associatedwith those activities. Counterparties, borrowers or investees with higher emissions might be more susceptible to risks associated with technological changes, shifts in supply and demand and policy change which in turn can impact the prospects of a financial institution that is providing financial services to these entities. These risks and opportunities can arise in the form of credit risk, market risk, reputational risk and other financial and operational risks. For example, credit risk might arise in relation to financing clients affected by increasingly stringent carbon taxes, fuel efficiency regulations orother policies; credit risk might also arise through related technological shifts. Reputational risk might arise from financingfossil-fuel projects. Entities participating in insurance activities are increasingly monitoring and managing such risks by measuring their financed emissions. This measurement serves as an indicator of an entity’s exposure to climate-related risks and opportunities and how it might need to adapt its financial activities over time."
Financials,Insurance,Policies Designed to Incentivise Responsible Behaviour,"Advances in technology and the development of new policy products have allowed insurance entities to limit claim payments while encouraging responsible behaviour. The industry is subsequently in a unique position to generate positive social and environmental externalities. Insurance entities can incentivise healthy lifestyles and safe behaviour as well as develop sustainability-related projects and technologies, such as those focused on renewable energy, energy efficiency and carbon capture. As the renewable energy industry continues to grow, insurance entities may seek related growth opportunities by underwriting insurance in this area. Additionally, policy clauses may encourage customers to incorporate environmental, social and governance (ESG) factors to mitigate overall underwriting portfolio risk, which may reduce insurance pay-outs over the long term. Therefore, disclosure on products related to energy efficiency and low carbon technology, as well as discussion of how entities incentivise health, safety or environmentally responsible actions or behaviours, may assist investors in assessing how insurance entities incentivise responsible behaviour."
Financials,Insurance,Systemic Risk Management,"Insurance entities have the potential to pose, amplify, or transmit a threat to the financial system. The size, interconnectedness, and complexity of insurance entities are factors that highlight exposure to systemic risk for entities in the industry. Insurance entities that engage in non-traditional or non-insurance activities have been identified by regulators as being more vulnerable to financial market developments and subsequently more likely to amplify or contribute to systemic risk. As a result, insurance entities face the potential of being designated as Systemically Important Financial Institutions. Such firms are subject to stricter prudential regulatory standards and oversight by the central banking systems in various jurisdictions. Specifically, these insurance entities will likely face limitations relating to risk-based capital, leverage, liquidity, and credit exposure. In addition, insurance entities will be required to maintain a plan forrapid and orderly dissolution in the event of financial distress. Regulatory compliance can be very costly, while the failure to meet qualitative and quantitative regulatory performance thresholds could lead to substantial penalties. To demonstrate how these risks are being managed, insurance entities should enhance their disclosures of key aspects of systemic risk management and their ability to meet stricter regulatory requirements."
Financials,Insurance,Transparent Information & Fair Advice for Customers,"Insurance products play an important societal role in alleviating the impact of unexpected economic shocks, allowing policyholders to minimise the financial impact of events such as illnesses, accidents, and deaths. However, the risks of unclear insurance policies, ambiguous product terms, and potentially misleading sales tactics can erode brand reputation, lead to legal disputes, and reduce the number of services and products offered. This may be especially true if regulators deem certain policies overly complex and unsuitable for customers. Moreover, insurance entities compete on the basis of financial strength, price, brand reputation, services offered, and customer relationships. Customer dissatisfaction may reduce insurance usage, potentially leading to extremely negative financial outcomes for individuals and families, such as personal bankruptcies. As financial regulators continue to emphasise consumer protection and accountability, entities thatmaintain transparent policy terms and direct customers toward the products best suited to them will be better positioned to maintain their brand reputation, avoid regulatory scrutiny, and protect shareholder value. Failure to inform customers about products in a clear and transparent manner may result in higher number of complaints filed against entities, customer churn, and in some instances, regulatory fines and settlements."
Financials,Insurance,Physical Risk Exposure,"Catastrophic losses associated with extreme weather events will continue to have a material, adverse effect on the Insurance industry. The extent of this effect may evolve as climate change increases the frequency and severity of both modelled and non-modelled natural catastrophes, including hurricanes, floods and droughts. Failure to appropriately understand environmental risks, and price them into the underwritten insurance products, may result in higher-than-expected claims on policies. Therefore, insurance entities that incorporate climate change considerations into their underwriting process for individual contracts, and well as the management of entity-level risks and capital adequacy, may be better positioned to create value over the long-term. Enhanced disclosure of an entity’s approach to incorporating these factors, in addition to quantitative data such as the probable maximum loss and total losses attributable to insurance pay-outs, may provide investors with the information necessary to assess current and future performance on this issue."
Financials,Insurance,Factors in Investment Management,"Insurance entities must invest capital to preserve accumulated premium revenues equivalent to expected policy claim pay-outs and maintain long-term asset-liability parity. Because environmental, social and governance (ESG) factors increasinglyhave a material impact on the performance of corporations and other assets, insurance entities increasingly must incorporate these factors into their investment management. Failure to address these issues may diminish risk-adjusted portfolio returns and limit an entity’s ability to issue claim payments. Entities, therefore, should enhance disclosure on how they incorporate ESG factors, including climate change and natural resource constraints, into the investment of policy premiums and how they affect the portfolio risk."
Technology & Communications,Software & IT Services,"Recruiting & Managing a Global, Diverse & Skilled Workforce","Employees are key contributors to value creation in the Software & IT Services industry. While the number of job openingsin the industry continues to grow, entities commonly find it difficult to recruit qualified employees to fill these positions. The shortage in technically skilled domestic employees has created intense competition to acquire highly skilled employees, contributing to high employee turnover rates. To respond to talent shortages, entities often hire foreign nationals and offshore operations, creating employee management and sustainability challenges and related business risks. Some entities contribute to relevant education and training programs to expand the availability of domestic, skilled employees. Entities offer significant monetary and non-monetary benefits to improve employee engagement and therefore retention and productivity. Initiatives to improve employee engagement and work-life balance may influence therecruitment and retention of a diverse workforce. The industry is characterised by relatively low representation from women and minority groups; efforts to recruit from and develop diverse talent pools can serve to address the talent shortage and generally improve the value of entity offerings. Greater workforce diversity is important for innovation and helps entities understand the needs of their diverse and global customer base."
Technology & Communications,Software & IT Services,Data Privacy & Freedom of Expression,"As software and IT services entities increasingly deliver products and services over the Internet and through mobile devices, they must carefully manage two separate and often conflicting priorities. On the one hand, entities use customer data to innovate and provide customers with new products and services and to generate revenues. On the other hand, there are privacy concerns associated with entities having access to a wide range of customer data, such as personal, demographic, content, and behavioural data. This dynamic is leading to increased regulatory scrutiny in many countries around the world. The delivery of cloud-based software and IT services also raises concerns about potential access to user data by governments that may use it to limit the freedoms of citizens. Effective management in this area is important to reduce regulatory and reputational risks that can lead to decreased revenues, lower market share, and regulatory actions involving potential fines and other legal costs."
Technology & Communications,Software & IT Services,Intellectual Property Protection & Competitive Behaviour,"Entities in the Software & IT Services industry spend a significant proportion of their revenues on IP protection, including acquiring patents and copyrights. While IP protection is inherent to the business model of some entities in the industry and is an important driver of innovation, entities’ IP practices can sometimes be a contentious societal issue. Entities couldsometimes acquire patents and other IP protection to restrict competition and access to benefits from innovation, particularly if they are dominant market players. Due to the complexity of software, its abstract nature, and increasing IP rights protection related to software, entities in the industry must navigate overlapping patent claims to be able to operate. As a result, entities in the industry may find themselves constantly in litigation or subject to regulatory scrutiny either due to allegations of patent violations if they engage in unethical business practices, or are perceived as doing so, or because they are suing others for IP infringement. Adverse legal or regulatory rulings related to antitrust and IP can expose entities in the industry to costly and lengthy litigations and potential monetary losses as a result. Such rulings may also affect an entity’s market share and pricing power if its patents or dominant position in key markets are legally challenged, with potentially significant impacts on revenue. Therefore, entities that can balance the protection of their IP and its use to spur innovation while ensuring their IP management and other business practices do not unfairly restrict competition, have the potential to lower regulatory scrutiny and legal actions while protecting their market value."
Technology & Communications,Software & IT Services,Environmental Footprint of Hardware Infrastructure,"With the growth of cloud-based service offerings, entities in this industry own, operate or rent increasingly more data centres and other hardware. Thus, managing the energy and water use associated with IT hardware infrastructure is relevant to value creation. Data centres must be powered continuously, and disruptions to the energy supply can have a material effect on operations, depending on the magnitude and timing of the disruption. Entities face a trade-off between energy and water consumption because of data centre cooling needs. Cooling data centres with water instead of chillers improves energy efficiency, but this method may create dependence on significant local water resources. Data centre specification decisions are important for managing costs, obtaining a reliable supply of energy and water, and reducing reputational risks, particularly with the increasing global regulatory focus on climate change and the opportunities arising from energy efficiency and renewable energy innovations."
Technology & Communications,Software & IT Services,Managing Systemic Risks from Technology Disruptions,"With trends towards increased cloud computing and Software as a Service (SaaS), software and IT service providers must ensure they have robust infrastructure and policies in place to minimise disruptions to their services. Disruptions such as programming errors or server downtime may generate systemic risks, because computing and data storage functions move from individual entity servers in various industries to data centres of cloud-computing service providers. The risks areincreased particularly if the affected customers are in sensitive sectors, such as financial institutions or utilities, which are considered critical national infrastructure. Entities’ investments in improving the reliability and quality of their IT infrastructure and services may attract and retain customers, thereby creating revenue and opportunities in new markets."
Technology & Communications,Software & IT Services,Data Security,"Software & IT services entities are targets of growing data security threats from cyber attacks and social engineering, which puts their own data and their customers’ data at risk. Inadequate prevention, detection, and remediation of data security threats can influence customer acquisition and retention and result in decreased market share and lower demand for the entity’s products. In addition to reputational damage and customer turnover, data breaches can also result in increased expenses, commonly associated with remediation efforts such as identity protection offerings and employee training on data protection. Meanwhile, new and emerging data security standards and regulations are likely to affect theoperating expenses of entities through increased costs of compliance. Additionally, entities in this industry are well-positioned to uncover revenue opportunities by providing secure software and services to meet the demand for ensuring data is kept secure. "
Technology & Communications,Semiconductors,Recruiting & Managing a Global & Skilled Workforce,"Employees are key contributors to value creation in the Semiconductors industry. Entities face competition and challenges in recruiting qualified employees, including electrical engineers, research scientists, and process engineers, and compensation for such employees is a significant cost component for the industry. To respond to domestic talent shortages, semiconductors entities are increasingly recruiting foreign nationals, even as they offshore operations, resultingin associated human capital management challenges. Hiring foreign nationals to compensate for shortages in local talent can create risks related to perceived social implications in the host and home countries of workers. Semiconductors entities can improve their competitive positioning by establishing education, training, and recruitment policies that develop and leverage the talents of skilled, global employees to meet their human capital needs. Such initiatives can help drive innovation and improve worker productivity, thereby improving access to new markets and possible new sources of revenue, while also creating a more engaged workforce that is less likely to experience high rates of turnover."
Technology & Communications,Semiconductors,Water Management,"Water is critical to the semiconductor production process, which requires significant volumes of ‘ultra-pure’ water for cleaning purposes, to avoid trace molecules from affecting product quality. As manufacturing becomes more complex, entities in the industry are discovering the importance of reducing ultra-pure water use. Water is becoming a scarce resource around the world, because of increasing consumption from population growth and rapid urbanisation, and reduced supplies because of climate change. Furthermore, water pollution in developing countries makes available water supplies unusable or expensive to treat. Without careful planning, water scarcity may result in higher supply costs, social tensions with local communities and governments, or loss of water access in water-scarce regions, thereby presenting a critical risk to production. Semiconductor entities that increase water use efficiency during manufacturing may maintain a lower risk profile and face reduced regulatory risks as local, regional and national environmental laws place increasing emphasis on resource conservation."
Technology & Communications,Semiconductors,Greenhouse Gas Emissions,"Entities in the Semiconductors industry generate greenhouse gas (GHG) emissions, particularly those from perfluorinated compounds, from semiconductor manufacturing operations. GHG emissions may create regulatory compliance costs and operating risks for semiconductors entities, although resulting financial effects may vary depending on the magnitude of emissions and the prevailing emissions regulations. Entities that cost-effectively manage GHG emissions through greater energy efficiency, the use of alternative chemicals or manufacturing process advances may benefit from improved operating efficiency and reduced regulatory risk."
Technology & Communications,Semiconductors,Energy Management in Manufacturing,"Energy is a critical input for manufacturing semiconductor devices. The price of conventional grid electricity and volatility of fossil fuel prices may increase because of evolving climate change regulations and new incentives for energy efficiency and renewable energy, among other factors, while alternative energy sources become more cost-competitive. Decisions regarding energy sourcing and type, as well as alternative energy use, may create trade-offs related to the energy supply’scost and reliability for operations. As industry innovation adds complexity to manufacturing processes, new technologies to manufacture semiconductors may consume more energy unless entities invest in the energy efficiency of their operations. The way an entity manages energy efficiency, reliance on different types of energy, the associated sustainability risks, and alternative energy source access may affect financial performance."
